name,id,votes,percent,candidate,party
Port Moody--Coquitlam,59023,83,0.2%,Roland Verrier,Marxiste-Léniniste
Port Moody--Coquitlam,59023,1878,3.4%,Marcus Madsen,Parti Vert
Port Moody--Coquitlam,59023,16112,29.5%,Tim Laidler,Conservateur
Port Moody--Coquitlam,59023,16888,30.9%,Jessie Adcock,Libéral
Port Moody--Coquitlam,59023,19706,36%,Fin Donnelly,NPD-Nouveau Parti Démocratique
Prince George--Peace River--Northern Rockies,59024,464,0.9%,Barry Blackman,Parti PC
Prince George--Peace River--Northern Rockies,59024,559,1.1%,W. Todd Keller,Libertarien
Prince George--Peace River--Northern Rockies,59024,2672,5.2%,Elizabeth Biggar,Parti Vert
Prince George--Peace River--Northern Rockies,59024,8014,15.5%,Kathi Dickie,NPD-Nouveau Parti Démocratique
Prince George--Peace River--Northern Rockies,59024,12913,24.9%,Matt Shaw,Libéral
Prince George--Peace River--Northern Rockies,59024,27237,52.5%,Bob Zimmer,Conservateur
Richmond Centre/Richmond-Centre,59025,1152,2.9%,Vincent Chiu,Parti Vert
Richmond Centre/Richmond-Centre,59025,4602,11.5%,Jack Trovato,NPD-Nouveau Parti Démocratique
Richmond Centre/Richmond-Centre,59025,16486,41.4%,Lawrence Woo,Libéral
Richmond Centre/Richmond-Centre,59025,17622,44.2%,Alice Wong,Conservateur
Esquimalt--Saanich--Sooke,59026,136,0.2%,Tyson Strandlund,Communiste
Esquimalt--Saanich--Sooke,59026,11912,17.5%,Shari Lukens,Conservateur
Esquimalt--Saanich--Sooke,59026,13575,19.9%,Frances Litman,Parti Vert
Esquimalt--Saanich--Sooke,59026,18622,27.4%,David Merner,Libéral
Esquimalt--Saanich--Sooke,59026,23836,35%,Randall Garrison,NPD-Nouveau Parti Démocratique
Saanich--Gulf Islands,59027,249,0.4%,Meghan Jess Porter,Libertarien
Saanich--Gulf Islands,59027,6181,9.1%,Alicia Cormier,NPD-Nouveau Parti Démocratique
Saanich--Gulf Islands,59027,11380,16.7%,Tim Kane,Libéral
Saanich--Gulf Islands,59027,13260,19.5%,Robert Boyd,Conservateur
Saanich--Gulf Islands,59027,37070,54.4%,Elizabeth May,Parti Vert
Skeena--Bulkley Valley,59028,780,1.8%,Don Spratt,Parti de l'Héritage Chrétien
Skeena--Bulkley Valley,59028,1605,3.6%,Jeannie Parnell,Parti Vert
Skeena--Bulkley Valley,59028,8257,18.7%,Brad Layton,Libéral
Skeena--Bulkley Valley,59028,10936,24.8%,Tyler Nesbitt,Conservateur
Skeena--Bulkley Valley,59028,22531,51.1%,Nathan Cullen,NPD-Nouveau Parti Démocratique
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,59029,376,0.6%,Brian Gray,Indépendant
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,59029,2792,4.2%,Samantha Troy,Parti Vert
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,59029,18732,28.1%,Connie Denesiuk,Libéral
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,59029,19871,29.8%,Marshall Neufeld,Conservateur
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,59029,24823,37.3%,Richard Cannings,NPD-Nouveau Parti Démocratique
South Surrey--White Rock/Surrey-Sud--White Rock,59030,108,0.2%,Brian Marlatt,Parti PC
South Surrey--White Rock/Surrey-Sud--White Rock,59030,261,0.5%,Bonnie Hu,Libertarien
South Surrey--White Rock/Surrey-Sud--White Rock,59030,1938,3.4%,Larry Colero,Parti Vert
South Surrey--White Rock/Surrey-Sud--White Rock,59030,5895,10.4%,Pixie Hobby,NPD-Nouveau Parti Démocratique
South Surrey--White Rock/Surrey-Sud--White Rock,59030,23495,41.5%,Judy Higginbotham,Libéral
South Surrey--White Rock/Surrey-Sud--White Rock,59030,24934,44%,Dianne Lynn Watts,Conservateur
Steveston--Richmond East/Steveston--Richmond-Est,59031,274,0.6%,Matthew Swanston,Libertarien
Steveston--Richmond East/Steveston--Richmond-Est,59031,1587,3.7%,Laura-Leah Shaw,Parti Vert
Steveston--Richmond East/Steveston--Richmond-Est,59031,5248,12.1%,Scott Stewart,NPD-Nouveau Parti Démocratique
Steveston--Richmond East/Steveston--Richmond-Est,59031,16630,38.5%,Kenny Chiu,Conservateur
Steveston--Richmond East/Steveston--Richmond-Est,59031,19486,45.1%,Joe Peschisolido,Libéral
Surrey Centre/Surrey-Centre,59032,133,0.3%,Iqbal Kahlon,Communiste
Surrey Centre/Surrey-Centre,59032,553,1.3%,Kevin Pielak,Parti de l'Héritage Chrétien
Surrey Centre/Surrey-Centre,59032,1493,3.5%,Jeremiah Deneault,Parti Vert
Surrey Centre/Surrey-Centre,59032,8556,19.8%,Sucha Thind,Conservateur
Surrey Centre/Surrey-Centre,59032,12992,30.1%,Jasbir Sandhu,NPD-Nouveau Parti Démocratique
Surrey Centre/Surrey-Centre,59032,19471,45.1%,Randeep Sarai,Libéral
Surrey--Newton,59033,975,2.2%,Pamela Sangha,Parti Vert
Surrey--Newton,59033,6978,15.7%,Harpreet Singh,Conservateur
Surrey--Newton,59033,11602,26.1%,Jinny Sims,NPD-Nouveau Parti Démocratique
Surrey--Newton,59033,24869,56%,Sukh Dhaliwal,Libéral
Vancouver Centre/Vancouver-Centre,59034,74,0.1%,Michael Hill,Marxiste-Léniniste
Vancouver Centre/Vancouver-Centre,59034,614,1.1%,John Clarke,Libertarien
Vancouver Centre/Vancouver-Centre,59034,3370,5.8%,Lisa Barrett,Parti Vert
Vancouver Centre/Vancouver-Centre,59034,9818,16.9%,Elaine Allan,Conservateur
Vancouver Centre/Vancouver-Centre,59034,11618,20%,Constance Barnes,NPD-Nouveau Parti Démocratique
Vancouver Centre/Vancouver-Centre,59034,32554,56.1%,Hedy Fry,Libéral
Vancouver East/Vancouver-Est,59035,188,0.3%,Shawn Vulliez Pirate,Pirate
Vancouver East/Vancouver-Est,59035,214,0.4%,Anne Jamieson,Marxiste-Léniniste
Vancouver East/Vancouver-Est,59035,216,0.4%,D. Alex Millar,Indépendant
Vancouver East/Vancouver-Est,59035,525,0.9%,Peter Marcus,Communiste
Vancouver East/Vancouver-Est,59035,5395,9.2%,Wes Regan,Parti Vert
Vancouver East/Vancouver-Est,59035,6322,10.8%,James Low,Conservateur
Vancouver East/Vancouver-Est,59035,16532,28.2%,Edward Wong,Libéral
Vancouver East/Vancouver-Est,59035,29316,49.9%,Jenny Kwan,NPD-Nouveau Parti Démocratique
Vancouver Granville,59036,1691,3.1%,Michael Barkusky,Parti Vert
Vancouver Granville,59036,14028,26.1%,Erinn Broshko,Conservateur
Vancouver Granville,59036,14462,26.9%,Mira Oreck,NPD-Nouveau Parti Démocratique
Vancouver Granville,59036,23643,43.9%,Jody Wilson-Raybould,Libéral
North Island--Powell River,59037,4940,8.2%,Brenda Sayers,Parti Vert
North Island--Powell River,59037,15416,25.5%,Peter Schwarzhoff,Libéral
North Island--Powell River,59037,15840,26.2%,Laura Smith,Conservateur
North Island--Powell River,59037,24340,40.2%,Rachel Blaney,NPD-Nouveau Parti Démocratique
Vancouver Kingsway,59038,81,0.2%,Donna Petersen,Marxiste-Léniniste
Vancouver Kingsway,59038,445,1%,Kimball Cariou,Communiste
Vancouver Kingsway,59038,468,1%,Matt Kadioglu,Libertarien
Vancouver Kingsway,59038,9538,21%,Jojo Quimpo,Conservateur
Vancouver Kingsway,59038,12625,27.8%,Steven Kou,Libéral
Vancouver Kingsway,59038,20763,45.7%,Don Davies,NPD-Nouveau Parti Démocratique
Vancouver Kingsway,59038,,3.3%,Catherine Moore,Parti Vert
Vancouver Quadra,59039,59,.1%,Jean-François Caron,Indépendant
Vancouver Quadra,59039,65,.1%,Marc Boyer,Radical Marijuana
Vancouver Quadra,59039,86,0.2%,Trevor Clinton Walper Pirate,Pirate
Vancouver Quadra,59039,2229,4.2%,Kris Constable,Parti Vert
Vancouver Quadra,59039,5748,10.9%,Scott Andrews,NPD-Nouveau Parti Démocratique
Vancouver Quadra,59039,13683,25.8%,Blair Lockhart,Conservateur
Vancouver Quadra,59039,31102,58.7%,Joyce Murray,Libéral
Vancouver South/Vancouver-Sud,59040,166,0.4%,Raj Gupta,Parti PC
Vancouver South/Vancouver-Sud,59040,178,0.4%,Charles Boylan,Marxiste-Léniniste
Vancouver South/Vancouver-Sud,59040,1149,2.6%,Elain Ng,Parti Vert
Vancouver South/Vancouver-Sud,59040,6230,14%,Amandeep Nijjar,NPD-Nouveau Parti Démocratique
Vancouver South/Vancouver-Sud,59040,15115,33.9%,Wai Young,Conservateur
Vancouver South/Vancouver-Sud,59040,21773,48.8%,Harjit S. Sajjan,Libéral
Victoria,59041,124,0.2%,Saul Andersen,Indépendant
Victoria,59041,200,0.3%,Jordan Reichert,Environment Voters
Victoria,59041,539,0.7%,Art Lowe,Libertarien
Victoria,59041,8480,11.8%,John Rizzuti,Conservateur
Victoria,59041,8489,11.8%,Cheryl Thomas,Libéral
Victoria,59041,23666,32.9%,Jo-Ann Roberts,Parti Vert
Victoria,59041,30397,42.3%,Murray Rankin,NPD-Nouveau Parti Démocratique
West Vancouver--Sunshine Coast--Sea to Sky Country,59042,106,0.2%,Carol-Lee Chapman,Marxiste-Léniniste
West Vancouver--Sunshine Coast--Sea to Sky Country,59042,180,0.3%,Robin Kehler,Radical Marijuana
West Vancouver--Sunshine Coast--Sea to Sky Country,59042,5907,8.9%,Ken Melamed,Parti Vert
West Vancouver--Sunshine Coast--Sea to Sky Country,59042,6554,9.9%,Larry Koopman,NPD-Nouveau Parti Démocratique
West Vancouver--Sunshine Coast--Sea to Sky Country,59042,17411,26.2%,John Weston,Conservateur
West Vancouver--Sunshine Coast--Sea to Sky Country,59042,36300,54.6%,Pam Goldsmith-Jones,Libéral
Yukon,60001,533,2.6%,Frank de Jong,Parti Vert
Yukon,60001,3943,19.4%,Melissa Atkinson,NPD-Nouveau Parti Démocratique
Yukon,60001,4928,24.3%,Ryan Leef,Conservateur
Yukon,60001,10887,53.7%,Larry Bagnell,Libéral
Northwest Territories/Territoires du Nord-Ouest,61001,537,2.8%,John Moore,Parti Vert
Northwest Territories/Territoires du Nord-Ouest,61001,3481,18.3%,Floyd Roland,Conservateur
Northwest Territories/Territoires du Nord-Ouest,61001,5783,30.5%,Dennis Fraser Bevington,NPD-Nouveau Parti Démocratique
Northwest Territories/Territoires du Nord-Ouest,61001,9172,48.3%,Michael McLeod,Libéral
Nunavut,62001,182,1.5%,Spencer Rocchi,Parti Vert
Nunavut,62001,2956,24.8%,Leona Aglukkaq,Conservateur
Nunavut,62001,3171,26.6%,Jack Iyerak Anawak,NPD-Nouveau Parti Démocratique
Nunavut,62001,5619,47.1%,Hunter Tootoo,Libéral
